pH,seed,n_stacks,platelets_in_stacks,largest_stack,mean_stack_order
3,73019,8,29,6,0.9851188037416237
3,11234,10,22,4,0.9880183649803238
3,101098,10,29,6,0.9957005791767402
3,333,7,19,5,0.9872706391519631
3,112233,10,22,3,0.9921187470654498
3,1337212,11,26,4,0.9967979089701249
10,73019,3,6,2,0.9925621826816917
10,11234,1,2,2,0.9905251408808577
10,101098,0,0,0,0.0
10,333,0,0,0,0.0
10,112233,0,0,0,0.0
10,1337212,0,0,0,0.0
