epoch,loss,L_data,L_pde,L_bc,alpha,rmse_val
1,2.1294174194335938,0.04404663294553757,1.7899935245513916,0.00948895514011383,1.5000005078036338e-05,5.866922378540039
200,0.10543101280927658,0.003194541670382023,0.004512103274464607,0.016895970329642296,1.5000005078036338e-05,1.462963581085205
400,0.06556563824415207,0.0040491302497684956,0.004148758016526699,0.11944349855184555,1.5000005078036338e-05,1.9121147394180298
600,0.05338730290532112,0.0032198168337345123,0.0035843802616000175,0.15443457663059235,1.5000005078036338e-05,1.5328034162521362
800,0.040659643709659576,0.0022266958840191364,0.004679571837186813,0.1458081156015396,1.5000005078036338e-05,1.2754133939743042
1000,0.04206760972738266,0.001649671932682395,0.006163695827126503,0.12457773834466934,1.5000005078036338e-05,1.1013399362564087
1200,0.03819546848535538,0.0016138271894305944,0.009422743692994118,0.11501745134592056,1.5000005078036338e-05,0.8815528750419617
1400,0.02867875061929226,0.0007815681747160852,0.003105487674474716,0.12471731752157211,1.5000005078036338e-05,0.7602503895759583
1600,0.038120973855257034,0.001055058790370822,0.010232002474367619,0.07614859193563461,1.5000005078036338e-05,0.6865901947021484
1800,0.026720663532614708,0.0008736548479646444,0.0022949548438191414,0.06951438635587692,1.5000005078036338e-05,0.6794475317001343
2000,0.025694433599710464,0.00064965954516083,0.0036083587910979986,0.052903126925230026,1.5000005078036338e-05,0.6044051051139832
2200,0.02490636333823204,0.0008094488875940442,0.0050576673820614815,0.04902997240424156,1.4595809261663817e-05,0.6726113557815552
2400,0.021859582513570786,0.0005123059963807464,0.002924193860962987,0.040196869522333145,1.4243563782656565e-05,0.5441194772720337
2600,0.02057187259197235,0.0006504179909825325,0.005078963935375214,0.03276728838682175,1.3982022210257128e-05,0.5620869398117065
2800,0.021588174626231194,0.0005561655852943659,0.005459554493427277,0.026249641552567482,1.3696778296434786e-05,0.5255952477455139
3000,0.01942794770002365,0.0005269217072054744,0.0022040405310690403,0.02622818388044834,1.3493176084011793e-05,0.47092312574386597
3200,0.014032191596925259,0.0003396454849280417,0.0015180904883891344,0.02390124648809433,1.3271840543893632e-05,0.48830220103263855
3400,0.014280330389738083,0.00039429153548553586,0.001955085201188922,0.026177212595939636,1.3091299479128793e-05,0.5027742385864258
3600,0.020834486931562424,0.0004146814753767103,0.004599087871611118,0.01736937277019024,1.2916208106616978e-05,0.4430834650993347
3800,0.01743841916322708,0.00046431232476606965,0.002186308614909649,0.01766900159418583,1.274923124583438e-05,0.42044803500175476
4000,0.014836308546364307,0.00040069548413157463,0.001167029608041048,0.01676531322300434,1.2620421330211684e-05,0.4003305733203888
4200,0.014577631838619709,0.00042697766912169755,0.002447370905429125,0.01622425951063633,1.249968227057252e-05,0.38073766231536865
4400,0.015521921217441559,0.0003816849202848971,0.001393879996612668,0.013111807405948639,1.2369712749205064e-05,0.3950076401233673
4600,0.016879737377166748,0.0003416687832213938,0.0035658671986311674,0.011608272790908813,1.2234780115250032e-05,0.40509524941444397
4800,0.011643567122519016,0.0002800301881507039,0.0013859076425433159,0.012053216807544231,1.2103259905416053e-05,0.35939329862594604
5000,0.012742122635245323,0.000275225262157619,0.0013821934117004275,0.009887025691568851,1.1992121471848805e-05,0.3961571455001831
5200,0.014295414090156555,0.0003502620675135404,0.0010414662538096309,0.011353574693202972,1.1866954082506709e-05,0.3379918932914734
5400,0.014030725695192814,0.0005233150441199541,0.00220737443305552,0.0109647111967206,1.1763851944124326e-05,0.3051433861255646
5600,0.013274945318698883,0.00028177766944281757,0.0011530787451192737,0.008633656427264214,1.1662546967272647e-05,0.2847563326358795
5800,0.012070692144334316,0.00025031366385519505,0.0022925054654479027,0.010052572935819626,1.1583922059799079e-05,0.4504058063030243
6000,0.010529039427638054,0.0002316687605343759,0.001568372594192624,0.01068185269832611,1.1488482414279133e-05,0.27197933197021484
6200,0.009417201392352581,0.00024240698257926852,0.0016871918924152851,0.01015494391322136,1.1422323041188065e-05,0.26232343912124634
6400,0.012010378763079643,0.00021540731540881097,0.0027992341201752424,0.008569616824388504,1.1353143236192409e-05,0.30941471457481384
6600,0.013544769026339054,0.00027128352667205036,0.0033385991118848324,0.007886718027293682,1.1276648365310393e-05,0.25638288259506226
6800,0.01380443386733532,0.00017157880938611925,0.00636379374191165,0.008011694066226482,1.1206737326574512e-05,0.46401447057724
7000,0.012474779039621353,0.0001786875509424135,0.0018478604033589363,0.00679865712299943,1.1140510650875513e-05,0.35067909955978394
7200,0.009278714656829834,0.00021262795780785382,0.001897015841677785,0.008565510623157024,1.1064867976529058e-05,0.473837673664093
7400,0.011483583599328995,0.00016877581947483122,0.001979011809453368,0.007158733904361725,1.1013135008397512e-05,0.21426613628864288
7600,0.011431708000600338,0.00014662390458397567,0.001351233571767807,0.006074185017496347,1.0961310181301087e-05,0.29059168696403503
7800,0.013052723370492458,0.00012880995927844197,0.0024975105188786983,0.005895474925637245,1.0913349797192495e-05,0.20596261322498322
8000,0.009851180016994476,0.00013940894859842956,0.0033428194001317024,0.004656902980059385,1.0853668754862156e-05,0.3956402838230133
